Title,Year,Citation,Retraction,Retraction Time (days),Open Access,Number of Authors,Number of Retractions by Publishers,Number of Retractions by Journal,SJR,Journal Discontinue,Total Retractions by Authors
Microarchitecture and Biomechanical Evaluation of BoneCeramic Grafted Alveolar Defects During Tooth Movement in Rat,2016,6,1,366,1,6,880.0,3.0,0.0,0,12
"Anticancer Effects of Gingerol in Retinoblastoma Cancer Cells (RB355 Cell Line) Are Mediated via Apoptosis Induction, Cell Cycle Arrest and Upregulation of PI3K/Akt Signaling Pathway",2018,17,1,269,1,4,67.0,66.0,0.0,0,8
MiR-592 functions as a tumor suppressor in glioma by targeting IGFBP2,2017,18,1,520,1,6,880.0,180.0,0.0,0,21
miR-423-5p knockdown enhances the sensitivity of glioma stem cells to apigenin through the mitochondrial pathway,2017,23,1,595,1,7,880.0,180.0,0.0,0,13
The Piezo1 Protein Ion Channel functions in Human Nucleus Pulposus Cell Apoptosis by regulating Mitochondrial Dysfunction and the Endoplasmic Reticulum Stress Signal Pathway,2017,14,1,447,1,4,4020.0,21.0,0.947,0,8
Enhanced production of a self-toxic antibiotic xinghaiamine A from the novel marine-derived species Streptomyces xinghaiensis by resin addition,2013,4,1,1938,1,4,4020.0,2.0,0.538,0,8
Long Noncoding RNA SOX2OT Accelerates the Carcinogenesis of Wilms' Tumor Through ceRNA Through miR-363/FOXP4 Axis,2018,2,1,24,1,7,127.0,17.0,0.694,0,21
miR-144 Potentially Suppresses Proliferation and Migration of Ovarian Cancer Cells by Targeting RUNX1,2018,16,1,308,1,3,67.0,2.0,0.0,0,3
"Regulatory roles of epigenetic modulators, modifiers and mediators in lung cancer",2016,6,1,965,1,5,4020.0,1.0,3.297,0,10
Mitochondria-mediated disturbance of fatty acid metabolism in proximal tubule epithelial cells leads to renal interstitial fibrosis,2018,7,1,9,1,4,220.0,220.0,0.58,0,7
Age-Associated Defects in EphA2 Signaling Impair the Migration of Human Cardiac Progenitor Cells,2013,33,1,1881,1,11,83.0,19.0,8.415,0,103
An assessment of transgenomics as a tool for gene discovery in Populus euphratica Oliv,2018,1,1,123,1,10,3505.0,4.0,1.151,0,45
Proteomic and physiological responses of Arabidopsis thaliana exposed to salinity stress and N-acyl-homoserine lactone,2016,15,1,898,1,7,2080.0,2.0,1.27,0,121
Spatio-Temporal Patterns of Urban Forest Basal Area under Chinaâs Rapid Urban Expansion and Greening: Implications for Urban Green Infrastructure Management,2018,8,1,187,1,4,170.0,1.0,0.589,0,6
miR-126 Functions as a Tumor Suppressor in Osteosarcoma by Targeting Sox2,2013,43,1,1745,1,9,170.0,17.0,1.179,0,39
Signalling cross-talk between nitric oxide and active oxygen in Trifolium repens L. plants responses to cadmium stress,2018,10,1,56,1,8,4020.0,6.0,2.132,0,24
MiR-125b Increases Nasopharyngeal Carcinoma Radioresistance By Targeting A20/NF-kB Signaling Pathway,2017,33,1,96,1,11,122.0,17.0,2.27,0,35
Effect of galectin-3 on vasculogenic mimicry in esophageal cancer cells,2018,3,1,150,1,8,445.0,66.0,0.644,0,16
The opportunistic human fungal pathogen Candida albicans promotes the growth and proliferation of commensal Escherichia coli through an iron-responsive pathway,2017,9,1,14,1,6,4020.0,5.0,1.175,0,12
P38 and ERK1/2 MAPKs Act in Opposition to Regulate BMP9-Induced Osteogenic Differentiation of Mesenchymal Progenitor Cells,2012,62,1,2004,1,9,726.0,685.0,0.839,0,49
Overexpression of Rad51 Predicts Poor Prognosis in Colorectal Cancer: Our Experience with 54 Patients,2017,14,1,358,1,8,726.0,685.0,0.839,0,113
si-RNA-Mediated Knockdown of PDLIM5 Suppresses Gastric Cancer Cell Proliferation in Vitro,2014,15,1,1468,1,7,2080.0,4.0,0.0,0,13
Oxidized Low-density Lipoprotein (ox-LDL) Cholesterol Induces the Expression of miRNA-223 and L-type Calcium Channel Protein in Atrial Fibrillation,2016,8,1,935,1,15,1008.0,188.0,0.9,0,49
HP1a is highly expressed in glioma cells and facilitates cell proliferation and survival,2017,3,1,490,1,5,127.0,23.0,0.579,0,10
Cd induces G2/M cell cycle arrest by up-regulating miR-133b via directly targeting PPP2R2D in L02 hepatocytes,2018,3,1,41,1,5,323.0,1.0,0.706,0,16
Experimentally investigated the asparagus (Asparagus officinalis L.) drying with flat-plate collector under the natural convection indirect solar dryer,2018,6,1,209,1,4,2080.0,8.0,0.0,0,4
Radiation-enhanced hepatocyte growth factor secretion in malignant glioma cell lines,2007,26,1,4214,1,7,4020.0,6.0,0.654,0,49
"Is immunosuppression, induced by neonatal thymectomy, compatible with poor reproductive performance in adult male rats",2017,20,1,361,1,13,2080.0,2.0,1.002,0,23
"Antibiotic Resistance in Salmonella Enteritidis Isolates Recovered from Chicken, Chicken Breast, and Humans Through National Antimicrobial Resistance Monitoring System Between 1996 and 2014",2018,2,1,214,1,5,127.0,1.0,0.547,0,9
Chronic nasal exposure to nanoparticulate TiO2 causes pulmonary tumorigenesis in male mice,2017,9,1,634,1,4,2080.0,4.0,0.921,0,34
Roles of Eph/ephrin bidirectional signaling during injury and recovery of the central nervous system,2018,7,1,280,0,6,230.0,13.0,0.967,0,105
Long non-coding RNA MALAT1 interacts with miR-124 and modulates tongue cancer growth by targeting JAG1,2017,57,1,480,1,9,445.0,108.0,0.864,0,10
Silencing circular RNA hsa_circ_0000977 suppresses pancreatic ductal adenocarcinoma progression by stimulating miR-874-3p and inhibiting PLK1 expression,2018,83,1,237,1,8,4020.0,29.0,2.595,0,9
ROS Generated by Upconversion Nanoparticle-Mediated Photodynamic Therapy Induces Autophagy Via PI3K/AKT/mTOR Signaling Pathway in M1 Peritoneal Macrophage,2018,19,1,244,1,11,75.0,115.0,0.733,0,22
MicroRNA-143 Targets Syndecan-1 to Repress Cell Growth in Melanoma,2014,35,1,1467,1,8,726.0,685.0,0.839,0,88
Transcriptome and Multivariable Data Analysis of Corynebacterium glutamicum under Different Dissolved Oxygen Conditions in Bioreactors,2016,16,1,1033,1,8,726.0,685.0,0.839,0,23
Cardiac structural remodeling in hypertensive cardiomyopathy,2016,4,1,688,1,9,1008.0,5.0,0.0,0,25
"Piezo1 protein induces the apoptosis of human osteoarthritis-derived chondrocytes by activating caspase-12, the signaling marker of ER stress",2017,37,1,387,1,5,445.0,41.0,1.167,0,9
Tumor Protein D52-Like 2 Contributes to Proliferation of Breast Cancer Cells,2015,10,1,741,1,7,127.0,25.0,0.0,0,34
Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,2013,61,1,1657,1,10,726.0,685.0,0.839,0,103
Activated K-ras and INK4a/Arf Deficiency Cooperate During the Development of Pancreatic Cancer by Activation of Notch and NF-kappaB Signaling Pathways,2011,42,1,2533,1,14,726.0,685.0,0.839,0,198
Evaluation of the efficacy of a recombinant Entamoeba histolytica cysteine proteinase (EhCP112) antigen in minipig,2012,0,1,2356,1,3,4020.0,4.0,0.407,0,8
Downregulation of Notch-1 Contributes to Cell Growth Inhibition and Apoptosis in Pancreatic Cancer Cells,2006,276,1,4318,1,6,122.0,17.0,2.27,0,137
Revealing the Effects of the Herbal Pair of Euphorbia kansui and Glycyrrhiza on Hepatocellular Carcinoma Ascites with Integrating Network Target Analysis and Experimental Validation,2016,20,1,871,1,6,16.0,6.0,2.114,0,14
Pulmonary fibrosis of mice and its molecular mechanism following chronic inhaled exposure to TiO2 nanoparticles,2017,1,1,410,1,4,2080.0,4.0,0.921,0,34
MicroRNA-217 overexpression induces drug resistance and invasion of breast cancer cells by targeting PTEN signaling,2015,11,1,1068,1,6,2080.0,13.0,0.847,0,109
DA Negatively Regulates IGF-I Actions Implicated in Cognitive Function via Interaction of PSD95 and nNOS in Minimal Hepatic Encephalopathy,2017,1,1,466,1,8,246.0,9.0,1.471,0,8
Targeting of the C-Jun/BCL-XL/P21 Axis Accelerates the Switch from Senescence to Apoptosis Upon ROC1 Knockdown in Gastric Cancer Cells,2018,6,1,107,1,8,75.0,115.0,0.733,0,56
Antitumor Activity of Epidermal Growth Factor ReceptorâRelated Protein Is Mediated by Inactivation of ErbB Receptors and Nuclear Factor-kappaB in Pancreatic Cancer,2006,47,1,4621,1,12,122.0,60.0,3.468,0,135
"Down-regulation of Notch-1 Inhibits Invasion by Inactivation of Nuclear Factor-kappaB, Vascular Endothelial Growth Factor, and Matrix Metalloproteinase-9 in Pancreatic Cancer Cells",2006,293,1,4637,1,6,122.0,60.0,3.468,0,139
Epidermal Growth Factor ReceptorâRelated Protein Inhibits Cell Growth and Invasion in Pancreatic Cancer,2006,50,1,4601,1,11,122.0,60.0,3.468,0,153
Downregulated poly-C binding protein-1 is a novel predictor associated with poor prognosis in acute myeloid leukemia,2015,14,1,1206,1,2,451.0,37.0,0.697,0,2
"HMGB1: a novel protein that induced platelets active and aggregation via Toll-like receptor-4, NF-kappaB and cGMP dependent mechanisms",2015,44,1,1280,1,6,451.0,37.0,0.697,0,18
Protective role of silymarin in a mouse model of renal IschemiaâReperfusion injury,2015,26,1,1135,1,4,451.0,37.0,0.697,0,6
"Overexpression of a cotton annexin gene, GhAnn1, enhances drought and salt stress tolerance in transgenic cotton",2014,66,1,1266,1,5,3505.0,4.0,1.151,0,33
"Impact of different promoters, promoter mutation, and an enhancer on recombinant protein expression in CHO cells",2017,28,1,335,1,8,1008.0,188.0,0.9,0,109
Farnesoid X Receptor (FXR) Interacts with cAMP Response Element Binding Protein (CREB) to Modulate Glucagon-Like Peptide-1 (7â36) Amide (GLP-1) Secretion by Intestinal L Cell,2018,7,1,68,1,7,75.0,115.0,0.733,0,11
BIRC5 is a novel target of peroxisome proliferator-activated receptor gamma in brain microvascular endothelium cells during cerebral ischemia,2017,4,1,316,1,6,445.0,135.0,0.781,0,8
Clinical Importance of Somatostatin Receptor 2 (SSTR2) and Somatostatin Receptor 5 (SSTR5) Expression in Thyrotropin-Producing Pituitary Adenoma (TSHoma),2017,14,1,488,1,6,1.0,66.0,0.0,0,11
miR-26a-5p Regulates Synovial Fibroblast Invasion in Patients with Rheumatoid Arthritis by Targeting Smad,2018,6,1,59,1,4,67.0,66.0,0.0,0,111
MicroRNA-371-5p targets SOX2 in gastric cancer,2016,7,1,812,1,6,48.0,37.0,0.789,0,13
Ablation of MCM10 using CRISPR/Cas9 restrains the growth and migration of esophageal squamous cell carcinoma cells through inhibition of Akt signaling,2018,4,1,76,1,9,487.0,192.0,0.81,0,18
Bioheat transfer model of transcutaneous spinal cord stimulation-induced temperature changes,2018,1,1,185,1,5,6.0,5.0,0.623,0,40
Long Non-coding RNA Linc-ITGB1 Knockdown Inhibits Cell Migration and Invasion in GBC-SD/M and GBC-SD Gallbladder Cancer Cell Lines,2015,17,1,1184,1,7,2080.0,4.0,0.0,0,101
Chaperonin CCT-Mediated AIB1 Folding Promotes the Growth of ERa-Positive Breast Cancer Cells on Hard Substrates,2014,15,1,1683,1,6,726.0,685.0,0.839,0,32
Combined treatment with extracorporeal shock-wave therapy and bone marrow mesenchymal stem cell transplantation improves bone repair in a rabbit model of bone nonunion,2017,5,1,454,1,5,445.0,135.0,0.781,0,18
Sorcin Predicts Poor Prognosis and Promotes Metastasis by Facilitating Epithelial-mesenchymal Transition in Hepatocellular Carcinoma,2017,8,1,162,1,11,1008.0,188.0,0.9,0,37
Nuclear factor of activated T cells 5 maintained by Hotair suppression of miR-568 upregulates S100 calcium binding protein A4 to promote breast cancer metastasis,2014,53,1,1380,1,14,451.0,4.0,0.0,0,211
Activation of AMPK improves lipopolysaccharide-induced dysfunction of the bloodâbrain barrier in mice,2015,24,1,1216,1,3,1069.0,5.0,0.645,0,3
New insights into virulence mechanisms of rice pathogen Acidovorax avenae subsp. avenae strain RS-1 following exposure to Ã-lactam antibiotics,2016,9,1,871,1,8,1008.0,188.0,0.9,0,118
5-aminosalicylic acid improves lipid profile in mice fed a high-fat cholesterol diet through its dual effects on intestinal PPARgamma and PPARalpha,2018,2,1,322,1,4,726.0,685.0,0.839,0,25
Into the eyes of bone marrow-derived mesenchymal stem cells therapy for myocardial infarction and other diseases,2017,5,1,574,1,2,20.0,2.0,0.697,0,2
A 2-D DIGE analysis of simulated acid rain-responsive proteins in Pinus massoniana needles,2012,0,1,3,1,8,3505.0,1.0,0.0,0,9
"CYP2E1 Rsa l/Pstl polymorphism and lung cancer susceptibility: A meta-analysis involving 10,947 subjects",2015,9,1,1089,1,7,2080.0,23.0,0.0,0,92
Effect of Cinnamaldehyde on Glucose Metabolism and Vessel Function,2017,22,1,152,1,7,67.0,66.0,0.0,0,10
Si RNA inhibition of GRP58 associated with decrease in mitomycin C-induced DNA cross-linking and cytotoxicity,2006,6,1,3879,1,3,4020.0,11.0,0.946,0,24
A Novel Alkaloid from Marine-Derived Actinomycete Streptomyces xinghaiensis with Broad-Spectrum Antibacterial and Cytotoxic Activities,2013,21,1,1882,1,5,726.0,685.0,0.839,0,10
Quorum-Sensing of Bacteria and Its Application,2009,3,1,370,1,2,3505.0,1.0,0.344,0,2
Clinical significance of the induction of macrophage differentiation by the costimulatory molecule B7-H3 in human non-small cell lung cancer,2013,28,1,325,1,7,445.0,108.0,0.864,0,21
Screening and identification of a peptide specifically targeted to NCI-H1299 cells from a phage display peptide library,2009,45,1,140,1,4,445.0,135.0,0.781,0,5
The Immunoregulation Effect of Alpha 1-Antitrypsin Prolong Ã-Cell Survival after Transplantation,2014,13,1,1363,1,7,726.0,685.0,0.839,0,22
Differences in the expression profiles of claudin proteins in human nasopharyngeal carcinoma compared with non-neoplastic mucosa,2018,1,1,54,1,6,451.0,37.0,0.697,0,77
Arsenic Trioxide Inhibits Proliferation and Induced apoptosis of Leukemia Stem Cells with Drug Resistance,2018,0,1,136,1,6,4020.0,2.0,0.694,0,22
A small non-coding RNA AbcR2 regulate gntR transcription factor that modulate the intracellular survival of Brucella melitensis,2018,3,1,91,1,2,4020.0,10.0,0.753,0,2
The Potential Role of Hypoxia Inducible Factor 1alpha in Tumor Progression after Hypoxia and Chemotherapy in Hepatocellular Carcinoma,2004,60,1,5271,1,5,122.0,60.0,3.468,0,8
Quercetin suppresses insulin receptor signaling through inhibition of the insulin ligandâreceptor binding and therefore impairs cancer cell proliferation,2014,8,1,0,1,2,4020.0,56.0,0.0,0,51
Identification of an antitumor immune response of polyhistidine through a toll-like receptor 4-dependent manner,2014,1,1,14,1,2,4020.0,56.0,0.0,0,51
Predictive value of excision repair cross-complementation group 1 protein in locoregionally advanced nasopharyngeal carcinomas receiving cisplatin-based concurrent chemoradiotherapy,2018,1,1,255,1,6,69.0,3.0,0.427,0,35
"A Cotton Annexin Affects Fiber Elongation and Secondary Cell Wall Biosynthesis Associated with Ca2+ Influx, ROS Homeostasis, and Actin Filament Reorganization",2016,44,1,1064,1,8,20.0,11.0,2.101,0,39
The long noncoding RNA CASC2 inhibits tumorigenesis through modulating the expression of PTEN by targeting miR-18a-5p in esophageal carcinoma,2017,23,1,449,1,7,4020.0,21.0,0.947,0,44
MicroRNA-21 suppresses ox-LDL-induced human aortic endothelial cells injuries in atherosclerosis through enhancement of autophagic flux: Involvement in promotion of lysosomal function,2017,22,1,173,1,7,4020.0,21.0,0.947,0,26
The link between FOXJ1 expression level in bladder carcinoma and tumor recurrence,2017,1,1,189,1,5,445.0,66.0,0.644,0,16
Value of serum Mycoplasma pneumoniae immunoglobulin in the diagnosis of mycoplasma-related pneumonia in newborns,2017,2,1,317,1,3,445.0,54.0,0.0,0,11
Role of Mammalian sirtuin 1 (SIRT1) in lipids metabolism and cell proliferation of goose primary hepatocytes,2013,14,1,1680,1,13,4020.0,4.0,1.13,0,43
Addition of a single methyl group to a small molecule sodium channel inhibitor introduces a new mode of gating modulation,2015,5,1,1029,1,4,2080.0,15.0,2.119,0,4
Therapeutic effect and potential mechanism of pioglitazone in rats with severe acute pancreatitis,2018,7,1,0,1,4,20.0,20.0,0.0,0,4
Pre-exposures to taro (Colocasia esculenta) leaf volatiles enhance the reproductive behaviors in Spodoptera litura,2017,1,1,423,1,5,4020.0,2.0,0.79,0,5
Recent perspectives of pediatric mitochondrial diseases,2017,5,1,212,1,3,445.0,54.0,0.0,0,5
Cadmium permeates through calcium channels and activates transcriptomic complexity in wheat roots in response to cadmium stress,2016,8,1,696,1,3,3505.0,2.0,0.0,0,52
"Cloning, expression and evaluation of the efficacy of a recombinant Entamoeba histolytica cysteine proteinase (EhCP4) antigen in minipig",2012,1,1,0,1,4,4020.0,4.0,0.407,0,11
Evaluation of the efficacy of a recombinant Entamoeba histolytica cysteine proteinase gene (EhCP5) antigen in Minipig,2011,2,1,0,1,4,4020.0,4.0,0.407,0,10
PDZ-containing 1 acts as a suppressor of pancreatic cancer by regulating PTEN phosphorylation,2017,2,1,224,1,8,48.0,37.0,0.789,0,54
A New Synthetic Route to Avibactam: Lipase Catalytic Resolution and the Simultaneous Debenzylation/Sulfation,2017,1,1,236,1,6,304.0,3.0,0.0,0,75
The microRNA-325 inhibits hepatocellular carcinoma progression by targeting high mobility group box 1,2015,26,1,929,1,3,451.0,37.0,0.697,0,6
Controlled-release and preserved bioactivity of proteins from (self-assembled) core-shell double-walled microspheres,2012,38,1,2288,1,2,487.0,57.0,1.273,0,3
The Early Stage Formation of PI3K-AMPAR GluR2 Subunit Complex Facilitates the Long Term Neuroprotection Induced by Propofol Post-Conditioning in Rats,2013,12,1,1521,1,7,726.0,685.0,0.839,0,15
Interleukin-33 promotes helper T cell type-2/17 inflammation in children with allergic rhinitis,2017,1,1,159,1,8,3505.0,3.0,0.792,0,8
Resident Arterial Cells and Circulating Bone Marrow-Derived Cells Both Contribute to Intimal Hyperplasia in a Rat Allograft Carotid Transplantation Model,2017,5,1,171,1,6,75.0,115.0,0.733,0,24
CIP2A mediates prostate cancer progression via the c-MYC signaling pathway,2015,3,1,53,1,3,3505.0,180.0,0.0,0,6
Cytogenetics alteration in adult men involved in the recycling of electronic wastes,2017,0,1,256,1,7,4020.0,3.0,3.015,0,76
Engineering Bacillus licheniformis as a thermophilic platform for the production of l-lactic acid from lignocellulose-derived sugars,2017,6,1,206,1,4,451.0,2.0,1.113,0,44
Organogenesis and somatic embryogenesis in callus derived from HBsAg-transgenic tomato mutant,2012,3,1,2248,1,6,2.0,1.0,0.285,0,17
"Effects of seaweed Gracilaria verrucosa on the growth of microalgae: A case study in the laboratory and in an enclosed sea of Hangzhou Bay, China",2011,18,1,1259,1,6,4020.0,1.0,1.94,0,6
Prediction and Identification of B-Cell Epitopes on Goose Parvovirus Non-structural Protein,2011,0,1,0,1,7,4020.0,2.0,0.0,0,45
Effect of the Extract of Fructus Tribuli on Growth of Lactobacillus Acidophilus,2011,1,1,0,0,5,4020.0,2.0,0.0,0,5
Effects of Ringerâs sodium pyruvate solution on serum tumor necrosis factor-alpha and interleukin-6 upon septic shock,2015,3,1,1274,1,3,4.0,7.0,0.473,0,8
Lentivirus-Mediated Short-Hairpin RNA Targeting Protein Phosphatase 4 Regulatory Subunit 1 Inhibits Growth in Breast Cancer,2015,3,1,919,1,5,2.0,2.0,0.671,0,5
CD133+/CD44+/Oct4+/Nestin+ stem-like cells isolated from Panc-1 cell line may contribute to multi-resistance and metastasis of pancreatic cancer,2012,35,1,2267,1,8,4020.0,2.0,0.548,0,32
Nucleophagy in Human Disease: Beyond the Physiological Role,2018,1,1,26,1,5,3.0,3.0,0.0,0,16
rs10499194 polymorphism in the tumor necrosis factor-a inducible protein 3 (TNFAIP3) gene is associated with type-1 autoimmune hepatitis risk in Chinese Han population,2017,9,1,344,1,4,726.0,685.0,0.839,0,4
Effect of Over-Expression of Zinc-Finger Protein (ZFX) on Self-Renewal and Drug-Resistance of Hepatocellular Carcinoma,2016,6,1,577,1,4,67.0,66.0,0.0,0,11
Natural Killer Cell Activating Receptor NKG2D Is Involved in the Immunosuppressant Effect of Mycophenolate Mofetil and Infection of Hepatitis B Virus,2015,4,1,202,1,4,4020.0,11.0,0.318,0,5
Recombination spot identification Based on gapped k-mers,2016,30,1,719,1,3,1008.0,188.0,0.9,0,49
Rivaroxaban attenuates thrombosis by targeting the NF-kappaB signaling pathway in a rat model of deep venous thrombus,2017,9,1,166,1,5,445.0,41.0,1.167,0,49
Novel Mechanism of Inhibition of Dendritic Cells Maturation by Mesenchymal Stem Cells via Interleukin-10 and the JAK1/STAT3 Signaling Pathway,2013,109,1,1869,1,8,726.0,685.0,0.839,0,60
Association of angiotensin II receptor 1 and lectin-like oxidized low-density lipoprotein receptor-1 mediates the cardiac hypertrophy induced by oxidized low-density lipoprotein,2017,1,1,316,1,5,4020.0,56.0,0.0,0,10
Reciprocal regulation of miR-1254 and c-Myc in oral squamous cell carcinoma suppresses EMT-mediated metastasis and tumor-initiating properties through MAPK signaling,2017,14,1,75,1,5,4020.0,56.0,0.0,0,32
Angiopoietin-Like 4 Confers Resistance to Hypoxia/Serum Deprivation-Induced Apoptosis through PI3K/Akt and ERK1/2 Signaling Pathways in Mesenchymal Stem Cells,2014,37,1,1777,1,10,726.0,685.0,0.839,0,81
Using primate neural stem cells cultured in self-assembling peptide nanofiber scaffolds to repair injured spinal cords in rats,2016,11,1,483,1,9,1008.0,2.0,0.826,0,11
BEBT-908: A novel potent PI3K/HDAC inhibitor against diffuse large B-cell lymphoma,2017,2,1,212,1,6,4020.0,56.0,0.0,0,19
Fucosylated Chondroitin Sulfate from Sea Cucumber Apostichopus japonicus Retards Atherosclerosis in Apolipoprotein-E-Deficient Mice,2017,2,1,282,1,7,304.0,8.0,1.114,0,65
Exploring permeability of Escherichia coli competence using quantum dots as fluorescent probes,2004,4,1,3,1,4,4020.0,1.0,0.0,0,5
Protection of rats spinal cord ischemia-reperfusion injury by inhibition of MiR-497 on inflammation and apoptosis: Possible role in pediatrics,2016,25,1,676,1,4,4020.0,109.0,0.0,0,10
"Chronic constipation-associated symptoms in Asians and non-Asians, and effects of 12-week prucalopride treatment: A pooled analysis of 4 randomized, placebo-controlled trials",2016,1,1,169,1,8,2080.0,5.0,0.749,0,8
Dopaminergic regeneration by neurturin-overexpressing c17.2 neural stem cells in a rat model of Parkinson's disease,2007,11,1,822,1,6,451.0,2.0,5.205,0,35
Apogossypolone inhibits the proliferation of LNCaP cells in vitro and in vivo,2014,2,1,1480,1,7,445.0,135.0,0.781,0,9
Antioxidant Activity and Characterization of One New Polysaccharide Obtained from Perigord Truffle (Tuber huidongense),2016,7,1,563,1,5,4115.0,414.0,0.0,0,8
The complete mitochondrial genome of Dabryâs sturgeon (Acipenser dabryanus),2017,0,1,147,1,6,1069.0,5.0,0.0,0,6
EphB3-targeted regulation of miR-149 in the migration and invasion of human colonic carcinoma HCT116 and SW620 cells,2017,18,1,606,1,12,2080.0,17.0,1.625,0,68
Probucol suppresses human glioma cell proliferation in vitro via ROS production and LKB1-AMPK activation,2014,9,1,1142,1,5,1008.0,8.0,1.882,0,5
Progress of genome wide association study in domestic animals,2012,78,1,154,1,4,451.0,1.0,1.453,0,84
Essential Role of Sphingosine-1-Phosphate Receptor 1-Bearing CD8+CD44+CCR7+ T Cells in Acute Skin Allograft Rejection,2008,1,1,1073,1,18,2080.0,5.0,2.688,0,36
Bosentan attenuates cardiac fibrosis in diabetic mice without affecting blood glucose,2011,0,1,414,1,8,880.0,9.0,0.0,0,76
Pro-protein convertase-2/carboxypeptidase-E mediated neuropeptide processing of RGC-5 cell after in vitro ischemia,2009,6,1,137,1,5,3505.0,2.0,1.37,0,10
Screening research on membrane protein of dermal stem/progenitor cells with different differentiation potential,2013,0,1,455,1,8,3505.0,3.0,0.485,0,82
ABCB1 (1199GA) polymorphism regulates the efficacy of docetaxel and imatinib mesylate in HEK293 recombinant cell lines,2015,1,1,0,1,4,3505.0,8.0,0.869,0,102
"Influence of genetic variants of IDH1, IDH2, TET2 and DNMT3A on cytarabine cytotoxicity in different populations",2017,0,1,53,1,2,2080.0,4.0,0.569,0,53
Comparison of human coagulation factor VIII expression directed by cytomegalovirus and mammary gland-specific promoters in HC11 cells and transgenic mice,2015,0,1,1087,1,6,230.0,1.0,0.0,0,21
Spatio-temporal localization of S100P during the peri-implantation period in the mouse,2015,1,1,895,1,4,10.0,2.0,0.0,0,124
"Effects of cyclin E gene silencing on the proliferation of esophageal cancer cell lines, EC9706, Eca109 and KYSE30",2013,1,1,2052,1,6,445.0,135.0,0.781,0,53
Expression of miR-711 and mechanism of proliferation and apoptosis in human gastric carcinoma,2017,6,1,253,1,2,445.0,66.0,0.644,0,2
Decreased expression of the long noncoding RNA LINC00261 indicate poor prognosis in gastric cancer and suppress gastric cancer metastasis by affecting the epithelialâmesenchymal transition,2016,61,1,619,1,7,451.0,7.0,0.0,0,9
Berberine Improves Kidney Function in Diabetic Mice via AMPK Activation,2014,35,1,1140,1,5,726.0,685.0,0.839,0,13
FOXO1 is crucial in glioblastoma cell tumorigenesis and regulates the expression of SIRT1 to suppress senescence in the brain,2017,11,1,34,1,2,445.0,135.0,0.781,0,4
"Ca2+/calmodulin-dependent protein kinase IIgamma, a critical mediator of the NF-kappaB network, is a novel therapeutic target in non-small cell lung cancer",2013,18,1,1806,1,10,4020.0,29.0,2.595,0,77
SUN1 silencing inhibits cell growth through G0/G1 phase arrest in lung adenocarcinoma,2017,3,1,315,1,5,487.0,192.0,0.81,0,89
The IncRNA-GAS5/miR-23a/Foxo3a axis regulates cardiac hypertrophy by Wnt/beta-catenin signal pathway,2017,8,1,3,1,4,4020.0,56.0,0.0,0,63
Schisandrin B suppresses NLRP3 inflammasome activation to alleviate myocardial ischemia reperfusion injury via maintaining mitochondrial autophagy,2017,5,1,12,1,6,4020.0,56.0,0.0,0,16
"Cardioprotective effect of salvianolic acid B on large myocardial infarction mediated by reversing upregulation of leptin, endothelin pathways, and abnormal expression of SERCA2a, phospholamban in rats",2008,25,1,95,1,5,4020.0,11.0,0.936,0,47
Exploration of inhibitory mechanisms of curcumin in lung cancer metastasis using a miRNA- transcription factor-target gene network,2017,20,1,280,1,9,726.0,685.0,0.839,0,88
Resveratrol inhibits oesophageal adenocarcinoma cell proliferation via AMP-activated protein kinase signaling,2014,13,1,1104,1,9,5.0,5.0,0.0,0,21
Illuminating the dark road from schizophrenia genetic associations to disease mechanisms,2016,3,1,353,1,2,292.0,2.0,2.934,0,40
"Association between peroxisome proliferator-activated receptor, UCP3 and lipoprotein lipase gene polymorphisms and obesity in Chinese adolescents",2015,4,1,659,1,5,4020.0,2.0,0.0,0,19
The Epstein-Barr Virus-encoded miR-BART22 targets MAP3K5 to promote host cell proliferative and invasive abilities in nasopharyngeal carcinoma,2017,15,1,196,1,10,16.0,7.0,0.901,0,29
Running bamboo invasion in native and non-native regions worldwide,2017,2,1,0,1,6,3505.0,1.0,0.94,0,6
Silencing of the COPS3 Gene by siRNA Reduces Proliferation of Lung Cancer Cells Most Likely via Induction of Cell Cycle Arrest and Apoptosis,2012,11,1,2139,1,6,5.0,5.0,0.0,0,87
Decreased KCNE2 Expression Participates in the Development of Cardiac Hypertrophy by Regulation of CalcineurinâNFAT (Nuclear Factor of Activated T Cells) and Mitogen-Activated Protein Kinase Pathways,2017,3,1,155,0,15,83.0,1.0,3.505,0,85
siRNA Mediated Silencing of NIN1/RPN12 Binding Protein 1 Homolog Inhibits Proliferation and Growth of Breast Cancer Cells,2012,17,1,2122,1,4,5.0,5.0,0.0,0,5
Research on genetic algorithm based on oriented weighted crossover operator,2010,1,1,82,1,2,7727.0,72.0,0.0,0,2
The Experimental Research on Microcosmic Burning Mechanism of Biology-molding Fuel,2010,0,1,18,1,3,7727.0,181.0,0.0,0,4
The separation and degradation ability of predominant aerobic microorganism in coal chemical industry wastewater,2010,0,1,18,1,5,7727.0,181.0,0.0,0,107
Modulation of PI13K/PTEN Pathway Does not Affect Catalytic Activity of PDK1 in Jurcat Cell,2017,1,1,288,1,13,1.0,4.0,0.0,0,14
